Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Superfície (ha),superficie_km2
2013,7,Horta-Guinardó,40,Montbau,204.7,2.0469999999999997
2013,7,Horta-Guinardó,41,la Vall d'Hebron,73.6,0.736
2013,7,Horta-Guinardó,42,la Clota,17.8,0.17800000000000002
2013,7,Horta-Guinardó,43,Horta,308.2,3.082
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,56.7,0.5670000000000001
2013,8,Nou Barris,45,Porta,84.1,0.841
2013,8,Nou Barris,46,el Turó de la Peira,35.4,0.354
2013,8,Nou Barris,47,Can Peguera,12.0,0.12
2013,8,Nou Barris,48,la Guineueta,61.1,0.611
2013,8,Nou Barris,49,Canyelles,79.3,0.793
2013,8,Nou Barris,50,les Roquetes,64.2,0.642
2013,8,Nou Barris,51,Verdun,23.7,0.237
2013,8,Nou Barris,52,la Prosperitat,59.5,0.595
2013,8,Nou Barris,53,la Trinitat Nova,56.0,0.56
2013,8,Nou Barris,54,Torre Baró,176.8,1.7680000000000002
2013,8,Nou Barris,55,Ciutat Meridiana,35.5,0.355
2013,8,Nou Barris,56,Vallbona,59.8,0.598
2013,9,Sant Andreu,57,la Trinitat Vella,81.0,0.81
2013,9,Sant Andreu,58,Baró de Viver,23.0,0.23
2013,9,Sant Andreu,59,el Bon Pastor,188.2,1.882
2013,9,Sant Andreu,60,Sant Andreu,184.1,1.841
2013,9,Sant Andreu,61,la Sagrera,97.2,0.9720000000000001
2013,9,Sant Andreu,62,el Congrés i els Indians,40.7,0.40700000000000003
2013,9,Sant Andreu,63,Navas,42.3,0.423
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,74.2,0.742
2013,10,Sant Martí,65,el Clot,69.6,0.696
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,111.4,1.114
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,94.3,0.943
2013,10,Sant Martí,68,el Poblenou,154.5,1.545
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,123.7,1.237
2013,10,Sant Martí,70,el Besòs i el Maresme,127.4,1.274
2013,10,Sant Martí,71,Provençals del Poblenou,110.5,1.105
2013,10,Sant Martí,72,Sant Martí de Provençals,74.5,0.745
2013,10,Sant Martí,73,la Verneda i la Pau,112.3,1.123
2014,1,Ciutat Vella,1,el Raval,109.8,1.098
2014,1,Ciutat Vella,2,el Barri Gòtic,84.2,0.8420000000000001
2014,1,Ciutat Vella,3,la Barceloneta,131.4,1.314
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",111.4,1.114
2014,2,Eixample,5,el Fort Pienc,92.9,0.929
2014,2,Eixample,6,la Sagrada Família,105.1,1.051
2014,2,Eixample,7,la Dreta de l'Eixample,212.3,2.123
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,123.4,1.234
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,133.8,1.338
2014,2,Eixample,10,Sant Antoni,80.1,0.8009999999999999
2014,3,Sants-Montjuïc,11,el Poble Sec,460.5,4.605
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1428.4,14.284
2014,3,Sants-Montjuïc,13,la Marina de Port,125.5,1.2550000000000001
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,30.2,0.302
2014,3,Sants-Montjuïc,15,Hostafrancs,41.0,0.41000000000000003
2014,3,Sants-Montjuïc,16,la Bordeta,57.7,0.5770000000000001
2014,3,Sants-Montjuïc,17,Sants - Badal,41.1,0.41100000000000003
2014,3,Sants-Montjuïc,18,Sants,109.8,1.098
2014,4,Les Corts,19,les Corts,141.3,1.413
2014,4,Les Corts,20,la Maternitat i Sant Ramon,190.3,1.9030000000000002
2014,4,Les Corts,21,Pedralbes,270.2,2.702
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1152.2,11.522
2014,5,Sarrià-Sant Gervasi,23,Sarrià,304.2,3.042
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,78.8,0.788
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,223.5,2.235
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,165.9,1.659
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,84.6,0.846
2014,6,Gràcia,28,Vallcarca i els Penitents,120.9,1.209
2014,6,Gràcia,29,el Coll,35.8,0.358
2014,6,Gràcia,30,la Salut,64.3,0.643
2014,6,Gràcia,31,la Vila de Gràcia,132.6,1.326
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,65.0,0.65
2014,7,Horta-Guinardó,33,el Baix Guinardó,56.0,0.56
2014,7,Horta-Guinardó,34,Can Baró,38.4,0.384
2014,7,Horta-Guinardó,35,el Guinardó,130.8,1.308
2014,7,Horta-Guinardó,36,la Font d'en Fargues,65.7,0.657
2014,7,Horta-Guinardó,37,el Carmel,94.2,0.9420000000000001
2014,7,Horta-Guinardó,38,la Teixonera,33.7,0.337
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,171.6,1.716
2014,7,Horta-Guinardó,40,Montbau,204.7,2.0469999999999997
2014,7,Horta-Guinardó,41,la Vall d'Hebron,73.6,0.736
2014,7,Horta-Guinardó,42,la Clota,17.8,0.17800000000000002
2014,7,Horta-Guinardó,43,Horta,308.2,3.082
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,56.7,0.5670000000000001
2014,8,Nou Barris,45,Porta,84.1,0.841
2014,8,Nou Barris,46,el Turó de la Peira,35.4,0.354
2014,8,Nou Barris,47,Can Peguera,12.0,0.12
2014,8,Nou Barris,48,la Guineueta,61.1,0.611
2014,8,Nou Barris,49,Canyelles,79.3,0.793
2014,8,Nou Barris,50,les Roquetes,64.2,0.642
2014,8,Nou Barris,51,Verdun,23.7,0.237
2014,8,Nou Barris,52,la Prosperitat,59.5,0.595
2014,8,Nou Barris,53,la Trinitat Nova,56.0,0.56
2014,8,Nou Barris,54,Torre Baró,176.8,1.7680000000000002
2014,8,Nou Barris,55,Ciutat Meridiana,35.5,0.355
2014,8,Nou Barris,56,Vallbona,59.8,0.598
2014,9,Sant Andreu,57,la Trinitat Vella,81.0,0.81
2014,9,Sant Andreu,58,Baró de Viver,23.0,0.23
2014,9,Sant Andreu,59,el Bon Pastor,188.2,1.882
2014,9,Sant Andreu,60,Sant Andreu,184.1,1.841
2014,9,Sant Andreu,61,la Sagrera,97.2,0.9720000000000001
2014,9,Sant Andreu,62,el Congrés i els Indians,40.7,0.40700000000000003
2014,9,Sant Andreu,63,Navas,42.3,0.423
2014,10,Sant Martí,64,el Camp de l'Arpa del Clot,74.2,0.742
2014,10,Sant Martí,65,el Clot,69.6,0.696
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,111.4,1.114
2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,94.3,0.943
2014,10,Sant Martí,68,el Poblenou,154.5,1.545
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,123.7,1.237
2014,10,Sant Martí,70,el Besòs i el Maresme,127.4,1.274
2014,10,Sant Martí,71,Provençals del Poblenou,110.5,1.105
2014,10,Sant Martí,72,Sant Martí de Provençals,74.5,0.745
2014,10,Sant Martí,73,la Verneda i la Pau,112.3,1.123
2015,1,Ciutat Vella,1,el Raval,109.8,1.098
2015,1,Ciutat Vella,2,el Barri Gòtic,84.2,0.8420000000000001
2015,1,Ciutat Vella,3,la Barceloneta,131.4,1.314
